Lot URL,Lot #,Est. Retail Value,Sale Date,Year,Make,Model,Engine Type,Cylinders,VIN,Grid/Row,Title Code,Odometer,Odometer Description,Damage Description,Current Bid,My Bid,Item Number,Sale Name,Repair Estimate
https://www.copart.com/lotDetail/62642661,62642661,0 USD,10/28/2021 04:00 pm CEST,2003,TOYOTA,4RUNNER SR,4.7L  8,8,JTEBT14R038003822,G020,CERTIFICATE OF TITLE,"232,064 A",ACTUAL,MINOR DENT/SCRATCHES,200 USD,0 USD,45,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62642811,62642811,0 USD,10/28/2021 04:00 pm CEST,2006,TOYOTA,TACOMA ACC,4.0L  6,6,5TEUU42N86Z313795,K010,CERTIFICATE OF TITLE,"106,565 A",ACTUAL,MINOR DENT/SCRATCHES,825 USD,0 USD,78,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62651441,62651441,0 USD,10/28/2021 04:00 pm CEST,2015,JEEP,GRAND CHER,3.6L  6,6,1C4RJFAG9FC704384,G040,CERTIFICATE OF TITLE,"178,480 A",ACTUAL,HAIL,"8,000 USD",0 USD,131,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62654521,62654521,0 USD,10/28/2021 04:00 pm CEST,2017,NISSAN,ROGUE S,2.5L  4,4,JN8AT2MV5HW027026,H020,CERTIFICATE OF TITLE (P),"85,318 A",ACTUAL,FRONT END,"1,600 USD",0 USD,246,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62657011,62657011,0 USD,10/28/2021 04:00 pm CEST,2015,FORD,TRANSIT CO,2.5L  4,4,NM0LS6E74F1179563,I010,CERTIFICATE OF TITLE,"253,285 A",ACTUAL,MINOR DENT/SCRATCHES,175 USD,0 USD,215,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62657221,62657221,0 USD,10/28/2021 04:00 pm CEST,2014,SUBARU,LEGACY 2.5,2.5L  4,4,4S3BMBC6XE3018911,L040,CERTIFICATE OF TITLE,"214,535 A",ACTUAL,MINOR DENT/SCRATCHES,200 USD,0 USD,212,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62657551,62657551,0 USD,10/28/2021 04:00 pm CEST,2012,DODGE,RAM 2500 S,5.7L  8,8,3C6TD5DTXCG224211,HVY1,CERTIFICATE OF TITLE,"109,846 A",ACTUAL,ALL OVER,"2,100 USD",0 USD,168,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62657721,62657721,0 USD,10/28/2021 04:00 pm CEST,2014,BMW,320 I XDRI,2.0L  4,4,WBA3C3C52EF983231,J050,CERTIFICATE OF TITLE,"121,907 A",ACTUAL,MECHANICAL,825 USD,0 USD,200,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62657801,62657801,0 USD,10/28/2021 04:00 pm CEST,2010,SUBARU,LEGACY 2.5,2.5L  4,4,4S3BMCK68A3220969,G030,CERT OF TITLE-SALVAGE,"178,860 A",ACTUAL,REAR END,200 USD,0 USD,138,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62657971,62657971,0 USD,10/28/2021 04:00 pm CEST,2016,KIA,SEDONA LX,3.3L  6,6,KNDMB5C1XG6178390,L040,CERTIFICATE OF TITLE,"136,130 A",ACTUAL,MINOR DENT/SCRATCHES,175 USD,0 USD,228,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62658101,62658101,0 USD,10/28/2021 04:00 pm CEST,2013,KIA,SORENTO LX,3.5L  6,6,5XYKTDA24DG385957,K040,CERTIFICATE OF TITLE,"111,235 A",ACTUAL,MINOR DENT/SCRATCHES,825 USD,0 USD,190,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62658331,62658331,0 USD,10/28/2021 04:00 pm CEST,2014,DODGE,AVENGER SE,3.6L  6,6,1C3CDZAG6EN226933,G020,CERTIFICATE OF TITLE,"118,627 A",ACTUAL,MINOR DENT/SCRATCHES,200 USD,0 USD,205,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62658761,62658761,0 USD,10/28/2021 04:00 pm CEST,2010,TOYOTA,HIGHLANDER,3.5L  6,6,5TDJK3EH0AS016714,G040,CERTIFICATE OF TITLE,"167,729 A",ACTUAL,REAR END,"1,300 USD",0 USD,142,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62658781,62658781,0 USD,10/28/2021 04:00 pm CEST,2009,TOYOTA,HIGHLANDER,3.5L  6,6,JTEES43A792148073,G040,CERTIFICATE OF TITLE,"203,142 A",ACTUAL,MINOR DENT/SCRATCHES,825 USD,0 USD,122,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62658941,62658941,0 USD,10/28/2021 04:00 pm CEST,2014,KIA,SOUL +,2.0L  4,4,KNDJP3A51E7084016,H030,CERTIFICATE OF TITLE,"138,178 A",ACTUAL,FRONT END,825 USD,0 USD,208,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62659051,62659051,0 USD,10/28/2021 04:00 pm CEST,2013,CHRYSLER,TOWN & COU,3.6L  6,6,2C4RC1BG4DR656907,G020,CERTIFICATE OF TITLE,"155,106 A",ACTUAL,MINOR DENT/SCRATCHES,"1,050 USD",0 USD,182,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62662621,62662621,0 USD,10/28/2021 04:00 pm CEST,2004,FORD,RANGER SUP,4.0L  6,6,1FTZR15E14TA13478,T010,CERTIFICATE OF TITLE (P),"151,889 A",ACTUAL,MINOR DENT/SCRATCHES,200 USD,0 USD,15,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62664031,62664031,0 USD,10/28/2021 04:00 pm CEST,2016,MERCEDES-BENZ,C 450 4MAT,3.0L  6,6,55SWF6EB5GU127066,F040,CERTIFICATE OF TITLE,"90,504 A",ACTUAL,NORMAL WEAR,"25,000 USD",0 USD,189,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62692031,62692031,0 USD,10/28/2021 04:00 pm CEST,2017,CHEVROLET,4500XD,5.2L  4,4,JALCDW160H7002341,HVY3,CERTIFICATE OF TITLE,"248,835 A",ACTUAL,MINOR DENT/SCRATCHES,125 USD,0 USD,232,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62715191,62715191,0 USD,10/28/2021 04:00 pm CEST,2002,JEEP,GRAND CHER,4.7L  8,8,1J4GW58N62C283221,K040,CERT OF TITLE-PARTS ONLY SALVA,"145,973 A",ACTUAL,MECHANICAL,200 USD,0 USD,30,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62901481,62901481,0 USD,10/28/2021 04:00 pm CEST,2013,VOLVO,S60 T5,2.5L  5,5,YV1612FS3D2226260,,CERTIFICATE OF TITLE (P),"120,308 A",ACTUAL,SIDE,175 USD,0 USD,293,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62912821,62912821,0 USD,10/28/2021 04:00 pm CEST,2009,BMW,X3 XDRIVE3,3.0L  6,6,WBXPC93479WJ30377,G020,CERTIFICATE OF TITLE,"131,688 A",ACTUAL,MINOR DENT/SCRATCHES,200 USD,0 USD,115,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62914171,62914171,0 USD,10/28/2021 04:00 pm CEST,2010,TOYOTA,HIGHLANDER,3.5L  6,6,5TDBK3EH5AS014056,G020,CERTIFICATE OF TITLE,"228,213 A",ACTUAL,MINOR DENT/SCRATCHES,175 USD,0 USD,140,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62914511,62914511,0 USD,10/28/2021 04:00 pm CEST,2012,CHEVROLET,CRUZE LT,1.4L  4,4,1G1PF5SC7C7254522,H040,CERTIFICATE OF TITLE,"217,755 A",ACTUAL,MINOR DENT/SCRATCHES,825 USD,0 USD,162,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62935181,62935181,0 USD,10/28/2021 04:00 pm CEST,2008,HONDA,CR-V EX,2.4L  4,4,JHLRE48508C035621,G020,CERTIFICATE OF TITLE (P),"191,799 A",ACTUAL,MINOR DENT/SCRATCHES,"2,050 USD",0 USD,174,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62947491,62947491,0 USD,10/28/2021 04:00 pm CEST,2016,FORD,FUSION SE,2.5L  4,4,3FA6P0H75GR344219,H030,CERTIFICATE OF TITLE,"148,548 A",ACTUAL,SIDE,"2,400 USD",0 USD,171,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62973551,62973551,0 USD,10/28/2021 04:00 pm CEST,1999,TOYOTA,RAV4,2.0L  4,4,JT3HP10V0X7146369,G020,CERTIFICATE OF TITLE,0 E,EXEMPT,MINOR DENT/SCRATCHES,825 USD,0 USD,4,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62980481,62980481,0 USD,10/28/2021 04:00 pm CEST,2006,TOYOTA,RAV4,2.4L  4,4,JTMBD33V366012722,G020,CERTIFICATE OF TITLE (P),"278,150 A",ACTUAL,SIDE,825 USD,0 USD,187,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62980581,62980581,0 USD,10/28/2021 04:00 pm CEST,2008,TOYOTA,RAV4,2.4L  4,4,JTMBD33V786057939,G020,CERTIFICATE OF TITLE (P),"211,577 A",ACTUAL,MINOR DENT/SCRATCHES,825 USD,0 USD,177,CT - HARTFORD SPRINGFIELD,0 USD
